id;role_id;permision_id;permited
5;1;1;t
6;4;1;t
7;4;2;t
9;1;3;t
1;1;2;t
10;4;3;t
17;1;49;t
19;1;51;t
20;1;52;t
22;1;53;t
21;1;54;t
25;1;59;t
26;1;60;t
27;1;61;t
28;1;62;t
29;1;63;t
30;1;64;t
31;1;65;t
32;1;66;t
33;1;67;t
35;1;69;t
34;1;68;t
36;1;70;t
37;1;71;t
38;3;1;t
39;3;2;t
40;3;3;t
41;3;49;t
42;3;51;t
43;3;52;t
46;3;59;t
47;3;60;t
48;3;61;t
52;3;62;t
53;3;66;t
55;3;69;t
56;3;68;t
54;3;67;t
58;3;70;t
57;3;71;t
51;3;65;t
50;3;64;t
45;3;54;t
59;3;72;t
44;3;53;t
49;3;63;t
