id;idm_id;name;created;modified
2;co0051941;Marvel Studios [us];2016-11-16 16:15:55.045846;
3;co0071326;Lucasfilm [us];2016-11-16 16:36:16.982468;
5;co0000314;Muse [pl];2016-11-16 17:09:57.931592;
