id;permision_id;user_id;role_id;permited
11;1;1;3;t
12;2;1;3;t
10;3;1;3;t
20;49;1;3;t
22;51;1;3;t
23;52;1;3;t
24;53;1;3;t
25;54;1;3;t
28;59;1;3;t
29;60;1;3;t
30;61;1;3;t
31;62;1;3;t
32;63;1;3;t
34;65;1;3;t
35;66;1;3;t
36;67;1;3;t
37;69;1;3;t
38;68;1;3;t
39;70;1;3;t
40;71;1;3;t
33;64;1;3;t
41;72;1;3;t
